NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
514,1295,029.Sept/2022,375/005/IX/2022,,"Undangan Rapat Koordinasi Persiapan Kegiatan Pendampingan Implementasi Prototype Hasil Lomba Krenova Tahun 2022","Balitbangda Surakarta","Undangan Rapat Koordinasi Persiapan Kegiatan Pendampingan Implementasi Prototype Hasil Lomba Krenova Tahun 2022 (Pak Yudit, Pak Susilo, Pak Zubaidi, Pak Soekma)",2022/09/13,"Sudah Dihadiri",UNDANGAN,2022/09/15,"09.00 WIB - selesai","Ruang Rapat Balitbangda"
515,1294,028.Sept/2022,374/005/IX/2022,2022-09-12,"Undangan Rapat Koordinasi Persiapan Kegiatan Pendampingan Hilirisasi Hasil Riset Perguruan Tinggi Tahun 2022","Balitbangda Surakarta","Undangan Rapat Koordinasi Persiapan Kegiatan Pendampingan Hilirisasi Hasil Riset Perguruan Tinggi Tahun 2022 (Pak Yudit, Pak Danu)",2022/09/13,"Sudah Dihadiri",UNDANGAN,2022/09/15,"12.30 WIB - selesai","Ruang Rapat Balitbangda"
516,1293,027.Sept/2022,370/005/IX/2022,2022-09-09,"Undangan Rapat Pembahasan Laporan Pendahuluan Penyusunan Monitoring dan Evaluasi Smart City Kota Surakarta Tahun 2022","Balitbangda Surakarta","Undangan Rapat Pembahasan Laporan Pendahuluan Penyusunan Monitoring dan Evaluasi Smart City Kota Surakarta Tahun 2022 (Pak Christian)",2022/09/13,"Hadiri (Pak Christian)",UNDANGAN,2022/09/14,"12.30 WIB - selesai","Ruang Rapat Balitbangda"
517,1292,026.Sept/2022,TM.00.05/3603/2022,2022-09-12,Undangan,Setda,"Rapat Koordinasi Dukungan Side Event acara Indo Smart City di Kota Surakarta",2022/09/12,"Sudah dihadiri (Mas Susilo)",UNDANGAN,2022/09/13,"10.30 WIB","Bagian Tata Pemerintahan Setda Kota Surakarta"
518,1291,025.Sept/2022,01/AST/ICE/08/22,0000-00-00,"Permohonan Audiensi dan Dukungan atas Penyelenggaraan Indonesia Coffee Event League 2022/2023 Surakarta",ASTERY,"Permohonan Audiensi dan Dukungan atas Penyelenggaraan Indonesia Coffee Event League 2022/2023 Surakarta",2022/09/12,"Fasilitasi Free (Mas Susilo, Mas Danang)",PERMOHONAN,,,
519,1290,024.Sept/2022,010/ITB.Y/SKU/IX/2022,2022-09-09,"Permohonan Kunjungan Studi Ekskursi","Institut Teknologi dan Bisnis Yadika Pasuruan","Kunjungan Studi Ekskursi Mahasiswa",2022/09/12,"Fasilitasi (M.Budi)",KUNJUNGAN,2022/09/23,"14.00 WIB - selesai",STP
520,1289,023.Sept/2022,,2022-09-11,"Permohonan Pinjam Pakai Area Solo Technnoprk","Shopee Express","Kegiatan test drive (15 Kandidat)",2022/09/12,"Fasilitasi (M.Danang)",PERMOHONAN,"Sabtu & Minggu, 17-18 September 2022","09.00 - 16.00 WIB",STP
521,1288,022.Sept/2022,361/005/IX/2022,2022-09-05,"Undangan Rapat Pembahasan Laporan Akhir MONEV RINDUK KELITBANGAN Surakarta","Balitbangda Pemkot Surakarta","Rapat Pembahasan Laporan Akhir MONEV RINDUK KELITBANGAN Surakarta",2022/09/08,"Sudah Dihadiri",UNDANGAN,2022/09/09,"09.00 WIB - selesai","Ruang Rapat Balitbangda"
522,1287,021.Sept/2022,04/09/BRAB/2022,2022-09-06,"Permohonan Untuk Menjadi Pembicara","Bale Rakyat Aria Bima","Kegiatan Sosialisasi Kementerian Koperasi dan UKM dengan tema ""Pemasyarakatan Inkubasi Bagi Calon Wirausaha Digital""",2022/09/08,"Pembicara (Mas Danu)",PERMOHONAN,2022/09/09,"13.00 WIB","Indah Palace Hotel"
523,1286,020.Sept/2022,ISC-63/MST-IX/2022,2022-09-06,"Update Informasi dan Undangan Kompetisi Roket Air Nasional (KRAN) 2022","Indonesia Science Center","Daerah yang menyelenggarakan kompetisi regional di wilayahnya maksimal 20 orang peserta, sedangkan daerah yang mengkoordinasikan dan merekomendasikan peserta maksimal 15 orang peserta.",2022/09/08,"RAB Schedule",UNDANGAN,2022/10/08,,"Museum Purna Bhakti Pertiwi Taman Mini Indonesia Indah, Jakarta Timur."
524,1285,019.Sept/2022,521/OD.03.01,2022-09-06,"Undangan Rapat BAPEMPERDA DPRD Kota Surakarta","DPRD KOTA SURAKARTA","Tentang Ketenagakerjaan, Pengelolaan Sistem Drainase, dan Fasilitasi Penyelenggaraan Pesantren",2022/09/07,"Hadiri M Reza",UNDANGAN,2022/09/08,"09.00 WIB","Ruang Graha Paripurna DPRD Kota Surakarta"
525,1284,018.Sept/2022,367/005/IX/2022,2022-09-07,Undangan,Balitbangda,"Rapat Koordinasi Lanjutan Pembahasan Draft PKS Bangun Guna Serah antara Pemerintah Kota Surakarta dengan PT. Shopee Internasional Indonesia",2022/09/07,"Hadiri Mas Susilo",UNDANGAN,2022/09/08,"12.30 WIB - selesai","Ruang Rapat Balitbangda"
526,1283,017.Sept/2022,028/PH.e/SAN-SOLO/PAN-EMP/IX/2022,2022-09-06,"Peminjaman tempat","Senyum Anak Nusantara","untuk mengadakan kegiatan evaluari Ekspedisi Merah Putih (EMP)",2022/09/07,"Fasilitas Ruang Seminar Besar (M. Susilo, M. Danang)",PERMOHONAN,2022/09/10,"12.30 WIB - selesai",STP
527,1282,016.Sept/2022,590/UDB/D.2-AK/IX/2022,2022-09-05,"Undangan Workshop & Penandatangan MOU","UNIVERSITAS DUTA BANGSA SURAKARTA","""Workshop Pengembangan Kemitraan Dengan DUDI untuk Mendukung Kompetensi Data Science Bagi Program Studi Sistem Informasi"" & Penandatanganan MOU",2022/09/07,"Fasilitas M.Susilo, M .Reza",UNDANGAN,"Selasa - Rabu, 13 - 14 September 2022","12.00 - selesai","Multazam Syariah Hotel"
528,1281,015.Sept/2022,B/1795/KI/IX/2022,2022-09-06,Undangan,DISKOMINFO,"Rapat Koordinasi Lanjutan Pengisian Kuesioner Smart City",2022/09/07,"Sudah Dihadiri",UNDANGAN,2022/09/07,"09.00 WIB - selesai","Ruang rapat Upakari II DISKOMINFO SP Kota Surakarta"
529,1280,014.Sept/2022,"TM 00.07/5205",2022-09-06,Undangan,"Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu","Rapat Koordinasi Permohonan PKKPR Solo Technopark",2022/09/07,"Sudah Dihadiri",UNDANGAN,2022/09/07,"09.00 WIB - selesai","Ruang Rapat DPMPTSP"
530,1279,013.Sept/2022,002/SMOF/IX/2022,,"Permohonan izin peminjaman tempat","PT MEDIA SARANA DIGITALINDO","Untuk kegiatan ""Pelatihan Digital Customer Relationship Manager""",2022/09/07,Arsipkan,PERMOHONAN,"Selasa, 6, 13, 20, 27 September 2022","09.00 - selesai","Mandiri Digipreneur Hub"
531,1278,012.Sept/2022,"423.4/540.6/IX TP",2022-09-05,"Permohonan tempat PKL","SMKN 1 Gombong","Permohonan tempat PKL",2022/09/07,"Fasilitasi M. Christian, M. Budi",PERMOHONAN,"1 Februari - 30 April 2023",,STP
532,1277,011.Sept/2022,"032.B/102.5/SMK2 TJ/IX/2022",2022-09-05,"Permohonan Kunjungan Benchmarking","SMK 2 TRIPLE ""J""","Kunjungan Benchmarking",2022/09/06,"Fasilitasi (M.Budi)",PERMOHONAN,2022/09/09,"14.00 WIB - 16.00 WIB",
533,1276,010.Sept/2022,ST-347/WPB.14/2022,2022-09-02,"Surat Tugas","Kantor Wilayah Direktorat Jenderal Perbendaharaan Provinsi Jawa Tengah",,2022/09/06,Arsipkan,"SURAT TUGAS",,,
534,1275,009.Sept/2022,421-2/03/051/IX/2022,2022-09-05,"Permohonan Ijin Kunjungan","SD NEGERI SEMANGGI KIDUL","Ijin kunjungan serta mendalami pengenalan Sciens Study dan peralatan ilmiah",2022/09/05,"Diterima (Mas Susilo, Mba Ani, MSIB Legal)",PERMOHONAN,2022/09/20,"08.30 WIB",
535,1274,008.Sept/2022,,,"Surat Penawaran Produk","CV. Sinar Abadi Multimedia","Penawaran Produk",2022/09/05,Arsipkan,PENAWARAN,,,
536,1273,007.Sept/2022,Petro.01/072/VIII/2022,1931-09-22,"Undangan Rapat",PETROTEKNO,"Meeting Negoisasi kerjasama jangka panjang program Apprentice dan Upskilling antara Pertamina Hulu Energi, Solo Technopark, dan Petrotekno",2022/09/05,Arsipkan,UNDANGAN,"6-8 September 2022",,"PHE Tower Lt. 2, Jaksel"
537,1272,006.Sept/2022,,2022-09-02,"Permohonan Pemakaian Space Solo Trade Center",nutrifood,"Permohonan pemakaian Space Solo Trade Center",2022/09/02,"Fasilitasi (Mas Susilo) Surat balasan (Mba Ani) Pertemuan",PERMOHONAN,,,
538,1271,005.Sept/2022,670/IT.B07.5/TU.12/2022,0000-00-00,"Permohonan Kunjungan & Survey Lapangan ke Solo Technopark","Institut Teknologi Bandung","Kunjungan & Survey Lapangan ke Solo Technopark (4 orang)",2022/09/02,"Fasilitasi (Mas Danu)",PERMOHONAN,2022/09/09,"09.00 - selesai",STP
539,1270,004.Sept/2022,4914/IT6.4/HM.01.00/2022,2022-09-01,"Permohonan Pinjam Tempat","ISI Surakarta","Pameran DKV ACT 8 ""Genap""",2022/09/02,"Fasilitasi (Mas Susilo) Nego Biaya (Mas Danang)",PERMOHONAN,"Jumat-Minggu, 28-30 Oktober 2022","11.00-21.00 WIB","Technopark lantai 2"
540,1269,003.Sept/2022,,2022-09-02,"Permohonan pinjam pakai area di STP","Shopee Express","Kegiatan test drive",2022/09/02,"Fasilitasi (Mas Danang)",PERMOHONAN,"Sabtu & Minggu, 10-11 September 2022","09.00-16.00 WIB",STP
541,1268,002.Sept/2022,"1148/SMK I-QON/E.11/VIII/2022",0000-00-00,"Permohonan Kunjungan Industri","SMK ISLAMIC QON","Permohonan Kunjungan Industri (146 orang)",2022/09/01,"Fasilitasi Pertimbangkan waktu dan jumlah (Mas Chris, Mas Budi)",PERMOHONAN,2022/09/14,"08.30 WIB - selesai",
542,1267,001.Sept/2022,2514/PE.00.00/VIII/2022,0000-00-00,Undangan,Bappeda,"FGD Komite Ekonomi Kreatif Kota Surakarta 2022 Bidang Infrastruktur dan Kawasan Kreatif.",2022/09/01,"Hadiri (Mas Danu)",UNDANGAN,2022/09/07,"09.00 WIB - selesai","Hotel Horison Aziza"
543,1266,086.Agt/2022,SRT-0246/SKKMI6000/2022/S0,0000-00-00,"Peminjaman Alat Peraga Hulu Migas","SKK Migas","Peminjaman Alat Miniatur Gas Plant dan Market Hulu - Hilir Minyak dan Gas Bumi",31-Agt-22,Arsipkan,PERMOHONAN,"29-30 Agustus 2022",,"Hotel Westin Surabaya"
544,1265,085.Agt/2022,050/37/I-BRIDA/VIII/2022,0000-00-00,"Permohonan Kunjungan Studi TIiru","Badan Riset Dan Inovasi Daerah","Permohonan Kunjungan Studi Tiru dan Menindaklanjuti Kunjungan kami pada tanggal 02 Agustus 2022, yaitu Penjajakan Kerjasama dan Studi Tiru Kegiatan Solo Technopark untuk diterapkan di Badan Riset dan Inovasi Daerah Provinsi Nusa Tenggara Barat.",31-Agt-22,"Diterima Mas Christian info ke PIC",PERMOHONAN,2022/09/02,"10.00 WIB",STP
545,1264,084.Agt/2022,02/AST/ICT/08/22,0000-00-00,"Permohonan Peminjaman Tempat",ASTERY,"untuk diadakannya Indonesia Coffe Event League 2022/2023 Regional Jateng dan Yogyakarta di Surakarta",30-Agt-22,"Fasilitasi (Mas Susilo, Mas Danang)",PERMOHONAN,"Kamis - Senin, 29 September 2022 - 3 Oktober 2022","06.00 - 19.00 WIB",STP
546,1263,083.Agt/2022,054/622/VIII/2022,0000-00-00,"Surat Perintah Tugas","Dinas Energi dan Sumber Daya Mineral Wilayah Solo","Pengawasan Uji Konstruksi (camera hole) di PT. Catur Putra Jati (Hotel Alila) dan peninjauan lapangan",30-Agt-22,Arsipkan,"SURAT TUGAS",2022/08/25,,
547,1262,082.Agt/2022,351/005/VIII/2022,0000-00-00,Undangan,Balitbangda,"Undangan Rapat Pembahasan Lanjutan Draft PKS Bangun Guna Serah antara Pemerintah Kota Surakarta dengan PT. Shopee Internasional Indonesia",29-Agt-22,"Sudah Dihadiri",UNDANGAN,2022/08/30,"09.00 WIB - selesai","Ruang Rapat Balitbangda"
548,1261,081.Agt/2022,,0000-00-00,"Proposal Kerjasama Platform Digital Asesmen","Widya Skillola","Proposal Kerjasama Platform Digital Asesmen",29-Agt-22,"Bagian kerjasama pelajari (m susilo)",PERMOHONAN,,,
549,1260,080.Agt/2022,0280/EMCL-CPO/2022,0000-00-00,"Permohonan Kinjungan",ExxonMobil,"Melaksanankan Kunjungan di Migas Corner Solo Technopark dengan tema ""Aspek Pertahanan Jalur Pipa Minyak Bumi Urip""",29-Agt-22,"Fasilitasi (Mas Christian) Buat Surat Balasan (Mba Ani)",PERMOHONAN,2022/09/09,"08.00 - 10.00 WIB","Ruang Migas Corner"
550,1259,079.Agt/2022,,0000-00-00,Undangan,"Politeknik ATMI Surakarta","Undangan Wisuda Ahli Madya Sarjana Terapan 2022",29-Agt-22,"Sudah Dihadiri",UNDANGAN,2022/09/10,"07.30 WIB","Mikael Sport Center"
551,1258,078.Agt/2022,341/PN.02.00/VIII/2022,0000-00-00,"Permohonan Personil",Balitbangda,"Permohonan Personil untuk melaksanakan Penyusunan ""Kajian Dampak Sosial dan Lingkungan Pembangunan Islamic Center"" pada Kegiatan Penelitian dan Pengembangan Bidang Sosial dan Kependudukan",29-Agt-22,"Surat Balasan (Arsipkan)",PERMOHONAN,,,
552,1257,077.Agt/2022,425.13/010/SMP/KPNK/VIII/2022,0000-00-00,"Permohonan Field Trip","SMP KRISTEN PELITA NUSANTARA KASIH","Selasa, 27 September 2022. Jam : 08.00-11.00 WIB (25 Orang). Rabu, 28 September 2022. Jam : 08.00-11.00 WIB. (63 Orang). Kamis, 29 September 2022. Jam : 08.00-11.00 WIB ( 52 Orang)",26-Agt-22,"Fasilitasi (Mas Christian, Mas Budi)",PERMOHONAN,"Selasa, 27 September 2022, Rabu, 28 September 2022, Kamis, 29 September 2022","08.00-11.00 WIB",STP
553,1256,076.Agt/2022,270/061015.H/L/2022,0000-00-00,Undangan,"Universitas Islam Batik Surakarta","Workhshop Universitas Islam Batik Surakarta dengan Mitra DUDIKA (Dunia Usaha dan Dunia Industri Kerja)",26-Agt-22,"Hadiri (Pak Christian, Pak Budi)",UNDANGAN,2022/08/31,"08.00 WIB s/d Selesai","Ruang Sidoluhur Universitas Islam Batik Surakarta"
554,1255,075.Agt/2022,B/1702/KI/VIII/2022,0000-00-00,Undangan,Diskominfo,"Rapat Koordinasi Pembuatan Video Smart City",26-Agt-22,"Sudah Dihadiri",UNDANGAN,2022/08/26,"09.30 WIB - selesai",Zoom
555,1254,074.Agt/2022,336/005/VIII/2022,0000-00-00,Undangan,Balitbangda,"Rapat Finalisasi Draf PKS Bangun Guna Serah antara Pemkot Surakarta dengan PT. Shopee Internasional Indonesia",25-Agt-22,Arsipkan,UNDANGAN,2022/08/29,"09.00 WIB - selesai","Ruang Rapat Balitbangda"
556,1253,073.Agt/2022,004/STM.SP/VIII/2022,0000-00-00,"Disposisi Walikota SKA","PT. Sinar Tanputra Mandiri","PT STM menawarkan kerjasama kepada Kota Surakarta untuk Mengembangkan dan Memberdayakan Solo Technopark sebagai Pusat Kerjasama Indonesia dengan Korea Selatan dalam bidang Engineering, Doblikasi, dan Kultur",,,,,,
557,1252,072.Agt/2022,002/G/ET_BEM/FT_UNY/VIII/2022,0000-00-00,"Permohonan Kunjungan Industri",UNY,"Kunjungan Industri",25-Agt-22,"Fasilitasi (Mas Christian, Mas Budi)",PERMOHONAN,2022/09/05,"09.30 - 11.10 WIB",STP
558,1251,071.Agt/2022,423.6/038/SDTI/VIII/2022,0000-00-00,"Izin Berkunjung","SD TA'MIRUL ISLAM SURAKARTA","Izin Berkunjung (50 orng)",24-Agt-22,"Fasilitasi (Mas Christian, Mas Budi)",PERMOHONAN,2022/09/19,09.00-selesai,STP
559,1250,070.Agt/2022,Email,0000-00-00,"Permohonan Izin Penelitian",UNY,"Permohonan Izin Penelitian dari Program Studi Psikologi",24-Agt-22,"Fasilitas (Mas Danu)",PERMOHONAN,,,
560,1249,069.Agt/2022,007/FKIHM/Agustus/2022,0000-00-00,"Permohonan Kunjungan",FKIHM,Kunjungan,24-Agt-22,"Bagian Umum & Kerjasama (Mas Susilo) Fasilitas (Mas Danang)",KUNJUNGAN,2022/08/25,"15.00 WIB - selesai",STP
561,1248,068.Agt/2022,1324/SCM.VP/320.9/08-22/E,0000-00-00,"Surat Penunjukan Appointment Letter","PT. Imbang Tata Alam","Surat Penunjukan Appointment Letter",24-Agt-22,,"SURAT PENUNJUKKAN",,,
562,1247,067.Agt/2022,027.4/22960,0000-00-00,Undangan,Bapppeda,"Acara Technopark dengan tema "" Strategi Membuka Peluang Pasar Ekspor bagi Tenant Binaan Technopark""",24-Agt-22,"Bagian PP &Inkubator (Pak Chris) Dipersiapkan (Mas Danu) Bagian Umum. Siapkan (Mas Danang)",UNDANGAN,2022/08/26,"09.00 WIB-selesai",STP
563,1246,066.Agt/2022,027.4/22959,0000-00-00,"Permohonan Fasilitas Tempat",Bapppeda,"Dengan tema "" Strategi Membuka Peluang Pasar Ekspor bagi Tenant Binaan Technopark""",24-Agt-22,"Fasilitas (Pak Chris, Mas Danu, dan Mas Danang)",PERMOHONAN,2022/08/26,"09.00 WIB-selesai",STP
564,1245,065.Agt/2022,4710/IT6.4/HM.01.00/2022,0000-00-00,"Permohonan Pinjam Tempat",ISI,"Pinjam Tempat",23-Agt-22,"Bagian Kerjasama & Umum (Pak Susilo) Dibuatka Surat Balasan ( Mas Danang) Tempat sudah Diperbarui Indo Smart City",PERMOHONAN,"Jumat - Minggu, 14-16 Oktober 2022","11.00 s.d. 21.00 WIB",STP
565,1244,064.Agt/2022,B-2033/Un.20/F.IV/PP.00.9/08/2022,0000-00-00,"Permohonan Menjadi Narasumber","UNIVERSITAS ISLAM NEGERI RADEN MAS SAID SURAKARTA","Permohonan Menjadi Narasumber dengan tema ""Digital Preneur Mahasiswa"" Fakultas Ekonomi dan Bisnis Islam UIN Raden Mas Said Surakarta",23-Agt-22,Arsipkan,PERMOHONAN,2022/09/01,"08.00 WIB-selesai","Gedung Graha UIN Raden Mas Said Surakarta"
566,1243,063.Agt/2022,501/UDB/D.2-KM/VIII/2022,0000-00-00,"Permiohonan Magang Mahasiswa","UNIVERSITAS DUTA BANGSA SURAKARTA","Men gajukan Permohona Magang Mahasiswa dalam Sistem Informasi (S1) 6 Mahasiswa dan Teknik Informatika (S1) 5 Mahasiswa",23-Agt-22,"Bagian PP & Inkubator (Pak Chris) Fasilitas (Mas Danu)",PERMOHONAN,"01 September - 29 Desember 2022",,STP
567,1242,062.Agt/2022,322/005/VIII/2022,0000-00-00,Undangan,"Badan Perencanaan dan Pembangunan Daerah (BPPD)","Rapat Koordionasi Tindak Lanjut Pembahasan Draft Perjanjian Kerjasama Bangun Guna Serah antara Mitra BGS dan Pemerintah Kota Surakarta",22-Agt-22,"Sudah Dihadiri",UNDANGAN,"Sealsa, 23 Agustus 2022","08.00 WIB-selesai","Ruang Rapat Balitbangda, Gedung Tawangpraja Lt.1"
568,1241,061.Agt/2022,2234/PM.04/VIII/2022,0000-00-00,Undangan,"Badan Perencanaan Pembangunan Daerah (BPPD)","Seminar Kerja sama Pemerintah dengan Badan Usaha (KPBU)",22-Agt-22,"Sudah Dihadiri (Pak Susilo)",UNDANGAN,2022/08/23,"08.30 WIB","Ballroom Soemarno The Sunan Hotel Solo"
569,1240,060.Agt/2022,"027/UN27.05.5/STL/LPM VISI/VIII/2022",0000-00-00,"Surat Permohonan Ijin Liputan",UNS,"Surat Permohonan Ijin Liputan",22-Agt-22,"Fasilits (Mbak Ani) Tanyakan Waktu Pelaksanaan",PERMOHONAN,,,
570,1239,059.Agt/2022,B-840/BPSDMI/AKOM-Surakarta/PP/VIII/2022,0000-00-00,"Undangan Temu Mitra Industri TPT bersama Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta",AK-Tekstil,"Undangan Temu Mitra Industri TPT bersama Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta",22-Agt-22,"Hadiri Sendiri",UNDANGAN,"Rabu - Jum'at, 24-26 Agt 2022","12.00 WIB - selesai","MG Setos Hotel (Semarang)"
571,1238,058.Agt/2022,B-835/D.3/UK.02.01/VIII/2022,0000-00-00,"Undangan Side Event G20 Indonesia Stakeholders Consultation : ""SME Opportunity on Global Value Chain and Logistic Solution""",KEMENKOPUKM,"Undangan Side Event G20 Indonesia Stakeholders Consultation : ""SME Opportunity on Global Value Chain and Logistic Solution""",22-Agt-22,"Mohon bisa diwakili (Pak Danu)",UNDANGAN,"Jum'at, 26 Agustus 2022","19.00 s/d 21.00 WIB","Daring Webex / Zoom"
572,1237,057.Agt/2022,B-1630/DJAI.5/AI.03.04/08/2022,0000-00-00,Undangan,KOMINFO,"Menghadiri Kegiatan Ignation by Gerakan Nasional 1000 Startup Digital",19-Agt-22,"Mohon bisa diwakili (Pak Christian)",UNDANGAN,2022/08/27,"10.00 WIB","Fairgrounts SCBD"
573,1236,056.Agt/2022,ISC-50/MST-VIII/2022,0000-00-00,"Informasi dan Undangan Kompetisi Roket Air Nasional (KRAN) 2022","Indonesia Science Center","Informasi dan Undangan Kompetisi Roket Air Nasional (KRAN) 2022",19-Agt-22,"M. Ani, M. Lusi",UNDANGAN,2022/10/08,,"Museum Purna Bhakti Pertiwi Taman Mini Indonesia Indah, JakTim"
574,1235,055.Agt/2022,2346/PE.00.00/VIII/2022,0000-00-00,Undangan,"Bappeda Kota Surakarta","FGD Komite Ekonomi Kreatif Kota Surakarta 2022 Bidang Pengembangan Industri Kreatif. Tema : ""Transformasi Kegiatan Ekraf menjadi Industri Ekonomi Kreatif""",18-Agt-22,"Hadiri (Mas Susilo)",UNDANGAN,2022/08/23,"09.30 - selesai","Sala View Hotel - Akasia Room"
575,1234,054.Agt/2022,B-8872/II.8.5/TU.03.02/8/2022,0000-00-00,"Undangan Temu Pengelola Tahap III","BRIN (Direktorat Kemitraan Riset dan Inovasi)","Temu Pengelola Tahap III",18-Agt-22,"Hadiri (Pak Chris & Mba Ani)",UNDANGAN,2022/08/25,"09.00 WIB-selesai","Zoom Meeting"
576,1233,053.Agt/2022,KS.00.23/3206/2022,0000-00-00,"Surat Edaran Walikota","Walikota Surakarta","Pemberlakuan Pembatasan Kegiatan Masyarakat Level 1 di Kota Surakarta",18-Agt-22,HRD,"SURAT EDARAN",,,
577,1232,052.Agt/2022,10/DP-KORPRI-SKA/VIII/2022,0000-00-00,"Surat Edaran","KORPS (Dewan Pengurus Kota Surakarta)","Surat Edaran tentang Penilaian Terbaik Pawai Pembangunan Dalam Rangka Peringatan Hut Ke-77 Kemerdekaan RI Tahun 2022",18-Agt-22,Arsipkan,"SURAT EDARAN",,,
578,1231,051.Agt/2022,444/OD.03.01,0000-00-00,"Undangan Rapat Pansus","DPRD KOTA SURAKARTA","Rapat Kerja Pansus Raperda tentang Fasilitasi Penyelenggaraan Pesantren",18-Agt-22,Arsipkan,UNDANGAN,2022/08/18,"14.00 WIB","Ruang Graha Paripurna DPRD Kota Surakarta"
579,1230,050.Agt/2022,RP.03/3217/2022,0000-00-00,Undangan,"Sekretariat Daerah","Rapat Rencana Pelaksanaan Indo Smart City 2022",18-Agt-22,,UNDANGAN,2022/08/18,"14.00 WIB","Ruang Rapat Bagian Tata Pemerintahan Setda Kota Surakarta"
580,1229,049.Agt/2022,450/OD.03.01,0000-00-00,Undangan,"DPRD KOTA SURAKARTA","Undangan Rapat Komisi III DPRD Kota Surakarta",18-Agt-22,Arsipkan,UNDANGAN,2022/08/19,"10.00 WIB","Ruang Komisi III DPRD Kota Surakarta"
581,1228,048.Agt/2022,BL.01.03/3208/2022,0000-00-00,Undangan,"Sekertariat Daerah","Rapat Checking Akhir Pelaksanaan Pawai Pembangunan Tahun 2022",18-Agt-22,,UNDANGAN,2022/08/18,"11.00 WIB","Ruang Rapat Tawangarum, Komplek Balaikota Surakarta JI. Jend. Sudirman No. 2 Surakarta"
582,1227,047.Agt/2022,083/DAHA-02/SK/08/2022,0000-00-00,"Surat Permohonan Rekrutmen Karyawan","PT.DAHA SURYA PERSADA","Menyampaikan Permohanan untuk dapat merekrut dan menyeleksi lulusan siswa Solo Technopark untuk mengikuti program OPERATOR MAGANG di Perusahaan kami. Adapun posisi yang kami tawarkan yaitu PROGRAM PEMAGANGAN",15-Agt-22,"Bagian PP (Pak Christian & Pak Budi)",PERMOHONAN,"Pengumuman lowongan : 15-25 Agustus 2022. Tes Wawancara : Jumat, 26 Agustus 2022",,
583,1226,046.Agt/2022,017/JA-Intermedia/SP/VIII/2022,0000-00-00,"Greeting Dies Natalis ke-38 Universitas Terbuka","Universitas Terbuka","Menyampaikan Penawaran Ucapan ""Selamat & Sukses Dies Natalis Universitas Terbuka ke 38"" Dalam Bentuk Iklan Greeting bersama di Solopos Media Group.",15-Agt-22,"Bayar Adm Umum & Logistik (Pak Untung), Diambil Rp. 600.000,- (Mas Oktaf)",PENAWARAN,2022/09/04,,#NAME?
584,1225,045.Agt/2022,240/WR.01/P.01/PA/VIII/2022,0000-00-00,"Proposal Audit Laporan Keuangan 2021","WARTONO dan REKAN","Proposal Audit Laporan Keuangan 2021",15-Agt-22,"Bag. Keuangan ditawar 25 jt (Bu Susi)",PROPOSAL,,,
585,1224,044.Agt/2022,Email,0000-00-00,"Permohona Kerjasama MOU Program Merdeka Belajar Kampus Merdeka (MBKM)",UNIMMA,"Permohona Kerjasama MOU Program Merdeka Belajar Kampus Merdeka (MBKM)",15-Agt-22,"Bagian Kerjasama dan Legal (Pak Susilo & Pak Reza)",PERMOHONAN,,,STP
586,1223,043.Agt/2022,BL-01-03/3182/2022,0000-00-00,"Surat Edaran","Sekertariat Daerah","Peringatan Hari Jadi ke-72 Provinsi Jawa Tengah",15-Agt-22,"Ibu Lusi","SURAT EDARAN",2022/08/15,"07.00 WIB","Kenal Youtube Pemerintah Provinsi Jawa Tengah"
